Season_End_Year,wk,Date,Home,HomeGoals,AwayGoals,Away,FTR
2024,,09/01/2024,Chelsea,1,1,Crystal Palace,D
2024,,09/31/2024,Arsenal,1,1,Brighton and Hove Albion,D
2024,,09/25/2024,Bournemouth,1,1,Newcastle United,D
2024,,09/24/2024,Brighton and Hove Albion,2,1,Manchester United,H
2024,,09/19/2024,Leicester City,1,1,Tottenham Hotspur,D
2024,,09/18/2024,Brentford,2,1,Crystal Palace,H
2024,,09/17/2024,Ipswich Town,0,2,Liverpool,A
2024,,09/16/2024,Manchester United,1,0,Fulham,H
2024,,08/31/2024,Arsenal,1,1,Brighton and Hove Albion,D
2024,,08/25/2024,Bournemouth,1,1,Newcastle United,D
2024,,08/24/2024,Brighton and Hove Albion,2,1,Manchester United,H
2024,,08/19/2024,Leicester City,1,1,Tottenham Hotspur,D
2024,,08/18/2024,Brentford,2,1,Crystal Palace,H
2024,,08/17/2024,Ipswich Town,0,2,Liverpool,A
2024,,08/16/2024,Manchester United,1,0,Fulham,H
